Origin,Destinarion,Time
22,0,3
32,28,1
50,54,0
2,31,7
44,2,5
44,32,2
2,18,5
4,32,6
31,23,0
44,2,6
6,25,8
48,2,10
13,14,0
6,5,0
23,48,1
2,48,10
24,32,3
48,32,4
52,47,0
45,22,1
3,9,1
40,32,4
24,32,2
9,13,0
32,18,12
0,54,10
45,50,0
45,26,3
26,54,2
24,54,3
48,44,0
0,54,7
33,25,0
9,0,1
31,2,6
17,24,7
6,3,1
17,31,4
44,31,4
3,7,5
7,3,2
31,48,3
0,54,8
8,3,4
23,8,3
39,38,0
4,4,0
5,10,0
28,29,0
6,5,0
4,5,0
24,31,6
48,13,8
14,9,1
31,31,3
29,25,2
2,7,0
45,32,3
45,0,9
17,48,3
49,54,0
15,16,0
52,43,1
18,21,1
0,3,1
44,32,1
33,25,0
7,4,2
44,48,0
2,8,3
17,31,4
42,28,13
49,54,3
48,2,6
7,3,3
8,2,1
8,2,1
8,2,0
3,22,4
24,45,9
26,24,1
13,3,7
18,22,3
22,18,8
31,32,0
24,22,3
8,3,9
32,54,5
32,24,4
8,2,1
44,0,12
48,48,5
21,42,3
19,0,4
33,25,0
32,24,5
9,3,1
19,22,0
17,48,4
54,0,7
7,48,6
45,0,7
8,2,2
2,2,5
19,24,3
49,54,0
48,8,9
8,0,4
19,18,2
18,3,4
9,2,10
24,26,2
22,18,3
49,53,1
44,44,0
0,24,8
52,16,6
5,10,0
32,37,1
38,50,0
31,37,0
44,48,0
17,24,10
3,8,8
7,3,2
45,41,2
39,54,0
4,7,8
7,48,7
38,50,0
40,53,3
8,2,2
25,32,2
2,48,8
49,53,0
22,18,4
18,48,5
6,5,0
49,37,2
8,3,3
29,24,2
3,8,7
48,44,0
25,32,3
7,48,8
24,18,4
21,48,3
21,23,0
54,22,2
24,45,4
22,24,2
17,48,3
4,8,8
32,24,4
48,11,4
17,48,5
3,6,3
8,11,3
24,54,2
32,24,4
8,3,2
28,32,4
24,16,7
6,7,0
3,7,7
9,3,1
45,26,2
22,26,1
11,24,4
8,0,3
2,8,1
2,8,1
8,2,1
24,32,3
3,10,5
6,7,0
17,48,6
32,54,3
18,11,1
11,22,10
4,3,16
44,2,6
11,48,5
9,3,2
43,40,2
39,38,0
42,48,10
42,37,1
25,18,7
2,18,9
19,48,6
44,32,2
19,22,0
3,8,4
22,24,1
8,3,3
7,7,0
38,45,0
24,18,8
4,0,0
48,43,5
42,24,11
38,32,6
11,3,4
24,5,4
45,8,7
6,8,0
25,22,0
48,3,15
44,24,9
9,13,0
5,3,0
0,4,0
0,4,0
5,8,8
21,3,5
2,7,0
2,32,7
49,18,10
32,24,2
3,7,5
13,14,0
16,48,4
18,24,5
18,13,2
15,18,2
24,8,5
44,32,1
48,44,0
32,31,0
17,54,8
2,21,4
13,13,0
18,3,6
3,8,10
28,32,0
21,3,4
49,53,2
44,21,1
44,18,4
13,18,2
2,48,7
3,13,4
17,21,0
32,24,2
48,24,15
17,18,0
31,42,3
40,54,3
50,54,0
48,42,2
50,54,0
48,42,1
50,8,12
48,42,1
50,54,0
48,42,2
4,21,6
50,54,0
7,28,7
50,54,0
48,42,2
50,54,0
48,18,7
50,54,0
3,2,7
49,54,4
22,24,2
29,33,3
45,0,7
18,24,7
3,8,6
38,32,4
22,24,6
13,18,2
21,18,1
8,2,1
9,17,5
4,18,15
3,4,0
52,53,0
28,26,3
28,29,0
19,0,4
32,54,5
9,39,9
45,13,3
2,11,3
7,48,8
16,18,1
0,0,19
19,19,1
19,22,0
8,0,3
48,2,8
3,3,11
32,24,4
54,32,5
45,22,1
38,54,1
18,22,5
22,24,0
2,48,8
45,54,18
45,16,6
5,54,7
22,54,2
32,54,5
31,23,11
43,22,2
22,5,2
6,8,1
17,17,0
50,45,1
54,16,6
48,48,10
39,24,2
25,54,6
18,3,5
8,5,2
2,8,2
32,54,5
44,44,0
2,17,3
3,18,8
8,2,2
48,8,9
7,2,0
17,48,4
44,32,1
4,48,11
11,24,7
49,32,4
44,13,3
54,18,6
6,7,0
45,32,4
32,48,6
45,19,3
16,18,0
18,13,3
5,8,4
21,7,2
25,7,11
8,2,1
22,18,7
2,48,7
32,24,4
3,8,5
22,22,8
18,0,6
0,5,1
7,48,5
7,48,6
29,24,4
8,9,5
25,0,4
44,11,2
11,18,0
18,24,9
48,17,4
23,21,0
18,24,7
4,9,0
11,48,4
45,32,3
45,0,6
24,18,8
18,0,6
3,24,7
32,28,1
42,48,1
45,32,9
0,17,8
5,8,2
38,53,2
3,18,6
9,2,15
48,32,10
38,45,0
22,24,6
26,24,2
48,31,9
9,18,3
0,8,6
45,3,7
0,2,4
4,4,0
24,54,3
7,48,6
44,2,5
32,23,1
16,14,6
31,31,1
41,50,5
25,54,1
9,45,6
4,5,0
18,21,1
21,17,0
17,18,12
52,43,1
4,8,4
8,3,8
3,8,6
16,24,4
18,4,5
4,18,12
3,18,7
16,3,3
7,8,0
44,2,6
4,9,0
21,31,2
52,40,10
32,24,2
44,32,1
24,3,8
44,2,6
48,44,0
23,18,2
24,24,8
0,54,7
54,0,5
9,3,2
24,54,2
2,23,4
21,2,2
4,18,7
24,54,11
3,8,4
9,3,1
52,32,2
3,18,10
48,3,8
4,9,0
31,31,1
45,24,1
3,8,3
52,47,0
48,38,4
13,45,6
54,0,10
38,50,0
28,32,2
3,8,10
48,32,2
7,48,9
49,24,5
54,38,1
8,48,10
22,25,0
3,2,13
6,7,0
3,2,5
3,5,1
32,0,11
2,8,1
48,8,7
31,31,2
52,38,2
4,9,0
13,24,6
3,7,3
7,48,7
32,24,4
13,22,2
43,54,3
45,32,3
8,2,1
17,25,6
44,18,3
17,19,2
16,18,0
5,8,2
45,54,5
24,26,2
0,54,11
4,54,8
24,54,3
7,18,3
2,8,1
2,48,10
44,37,0
2,8,2
54,50,0
4,54,21
8,2,3
8,2,2
8,2,1
17,3,4
6,8,0
2,48,7
21,23,0
7,8,0
0,29,7
9,18,3
6,7,0
32,2,8
48,2,15
7,7,0
0,32,12
4,2,16
22,13,7
48,24,5
3,8,4
9,0,2
13,19,0
19,18,3
