Time,Mean,Mean+SD,Mean-SD,SD,Real
1,0.380952,0.380952,0.380952,0.000000,0.380952
2,0.691358,0.694885,0.687831,0.000012,0.761905
3,0.944281,0.951298,0.937264,0.000049,0.952381
4,1.150367,1.160814,1.139920,0.000109,1.333333
5,1.318288,1.331924,1.304653,0.000186,1.333333
6,1.455113,1.471619,1.438607,0.000272,1.523810
7,1.566600,1.585638,1.547562,0.000362,1.714286
8,1.657441,1.678680,1.636203,0.000451,1.904762
9,1.731460,1.754591,1.708329,0.000535,2.095238
10,1.791772,1.816516,1.767027,0.000612,2.095238
11,1.840915,1.867026,1.814803,0.000682,2.095238
12,1.880957,1.908220,1.853694,0.000743,2.095238
13,1.913584,1.941813,1.885355,0.000797,2.095238
14,1.940169,1.969205,1.911133,0.000843,2.095238
15,1.961831,1.991538,1.932123,0.000883,2.095238
16,1.979481,2.009746,1.949216,0.000916,2.095238
17,1.993863,2.024590,1.963136,0.000944,2.095238
18,2.005581,2.036690,1.974473,0.000968,2.095238
19,2.015130,2.046554,1.983706,0.000987,2.095238
20,2.022910,2.054593,1.991227,0.001004,2.095238
21,2.029249,2.061146,1.997353,0.001017,2.095238
22,2.034415,2.066487,2.002343,0.001029,2.095238
23,2.038624,2.070839,2.006408,0.001038,2.095238
24,2.042053,2.074386,2.009720,0.001045,2.095238
25,2.044848,2.077277,2.012418,0.001052,2.095238
26,2.047125,2.079633,2.014616,0.001057,2.095238
27,2.048980,2.081553,2.016406,0.001061,2.095238
28,2.050491,2.083118,2.017865,0.001064,2.095238
29,2.051723,2.084393,2.019054,0.001067,2.095238
30,2.052727,2.085431,2.020022,0.001070,2.095238
31,2.053545,2.086278,2.020811,0.001071,2.095238
32,2.054211,2.086968,2.021454,0.001073,2.095238
33,2.054754,2.087530,2.021978,0.001074,2.095238
34,2.055196,2.087988,2.022405,0.001075,2.095238
35,2.055557,2.088361,2.022752,0.001076,2.095238
36,2.055850,2.088665,2.023036,0.001077,2.095238
37,2.056090,2.088913,2.023267,0.001077,2.095238
38,2.056285,2.089115,2.023455,0.001078,2.095238
39,2.056444,2.089280,2.023608,0.001078,2.095238
40,2.056573,2.089414,2.023733,0.001078,2.095238
41,2.056679,2.089523,2.023834,0.001079,2.095238
42,2.056765,2.089612,2.023917,0.001079,2.095238
43,2.056835,2.089684,2.023985,0.001079,2.095238
44,2.056892,2.089744,2.024040,0.001079,2.095238
45,2.056938,2.089792,2.024085,0.001079,2.095238
46,2.056976,2.089831,2.024121,0.001079,2.095238
47,2.057007,2.089863,2.024151,0.001080,2.095238
48,2.057032,2.089889,2.024175,0.001080,2.095238
49,2.057053,2.089910,2.024195,0.001080,2.095238
50,2.057069,2.089927,2.024211,0.001080,2.095238
51,2.057083,2.089942,2.024224,0.001080,2.095238
52,2.057094,2.089953,2.024235,0.001080,2.095238
53,2.057103,2.089962,2.024244,0.001080,2.095238
54,2.057110,2.089970,2.024251,0.001080,2.095238
55,2.057116,2.089976,2.024257,0.001080,2.095238
56,2.057121,2.089981,2.024261,0.001080,2.095238
57,2.057125,2.089985,2.024265,0.001080,2.095238
58,2.057129,2.089989,2.024268,0.001080,2.095238
59,2.057131,2.089992,2.024271,0.001080,2.095238
60,2.057133,2.089994,2.024273,0.001080,2.095238
61,2.057135,2.089996,2.024275,0.001080,2.095238
62,2.057137,2.089997,2.024276,0.001080,2.095238
63,2.057138,2.089998,2.024277,0.001080,2.095238
64,2.057139,2.089999,2.024278,0.001080,2.095238
65,2.057139,2.090000,2.024279,0.001080,2.095238
66,2.057140,2.090001,2.024279,0.001080,2.095238
