Time,inflow,outflow
1,0.000000,0.000000
2,0.000000,0.000000
3,0.000000,0.000000
4,0.000000,0.000000
5,0.000000,0.000000
6,0.000000,0.000000
7,0.000000,0.000000
8,0.000000,0.000000
9,0.000000,0.000000
10,0.000000,0.000000
11,0.000000,0.000000
12,0.000000,0.000000
13,0.000000,0.000000
14,0.000000,0.000000
15,0.000000,0.000000
16,0.000000,0.000000
17,0.000000,0.000000
18,0.000000,0.000000
19,0.000000,0.000000
20,0.000000,0.000000
21,0.000000,0.000000
22,0.000000,0.000000
23,0.000000,0.000000
24,0.000000,0.000000
25,18.000000,0.000000
26,0.000000,0.000000
27,0.000000,0.000000
28,18.000000,0.000000
29,0.000000,0.000000
30,0.000000,0.000000
31,30.000000,0.000000
32,0.000000,0.000000
33,12.000000,18.000000
34,18.000000,0.000000
35,12.000000,0.000000
36,18.000000,0.000000
37,30.000000,18.000000
38,18.000000,0.000000
39,12.000000,12.000000
40,30.000000,0.000000
41,30.000000,18.000000
42,30.000000,12.000000
43,30.000000,0.000000
44,30.000000,30.000000
45,30.000000,18.000000
46,30.000000,12.000000
47,42.000000,18.000000
48,36.000000,18.000000
49,42.000000,24.000000
50,54.000000,18.000000
51,48.000000,30.000000
52,60.000000,30.000000
53,48.000000,30.000000
54,42.000000,30.000000
55,54.000000,42.000000
56,42.000000,30.000000
57,48.000000,30.000000
58,48.000000,36.000000
59,60.000000,42.000000
60,42.000000,36.000000
61,36.000000,36.000000
62,54.000000,42.000000
63,30.000000,48.000000
64,66.000000,48.000000
65,48.000000,42.000000
66,60.000000,54.000000
67,36.000000,42.000000
68,30.000000,48.000000
69,30.000000,48.000000
70,48.000000,42.000000
71,66.000000,30.000000
72,36.000000,48.000000
73,48.000000,36.000000
74,48.000000,36.000000
75,48.000000,48.000000
76,30.000000,48.000000
77,48.000000,48.000000
78,48.000000,30.000000
79,48.000000,48.000000
80,48.000000,48.000000
81,60.000000,48.000000
82,48.000000,48.000000
83,48.000000,48.000000
84,36.000000,36.000000
85,48.000000,48.000000
86,48.000000,48.000000
87,48.000000,48.000000
88,48.000000,60.000000
89,36.000000,48.000000
90,48.000000,48.000000
91,30.000000,48.000000
92,36.000000,48.000000
93,48.000000,48.000000
94,30.000000,48.000000
95,48.000000,48.000000
96,36.000000,48.000000
97,48.000000,48.000000
98,48.000000,36.000000
99,66.000000,48.000000
100,66.000000,48.000000
101,78.000000,48.000000
102,78.000000,48.000000
103,84.000000,36.000000
104,96.000000,48.000000
105,96.000000,48.000000
106,90.000000,48.000000
107,66.000000,66.000000
108,78.000000,66.000000
109,60.000000,48.000000
110,60.000000,66.000000
111,66.000000,78.000000
112,60.000000,78.000000
113,78.000000,66.000000
114,78.000000,78.000000
115,78.000000,66.000000
116,78.000000,66.000000
117,78.000000,60.000000
118,60.000000,78.000000
119,78.000000,78.000000
120,78.000000,78.000000
121,78.000000,60.000000
122,78.000000,66.000000
123,192.000000,60.000000
124,306.000000,78.000000
125,474.000000,78.000000
126,684.000000,108.000000
127,798.000000,126.000000
128,858.000000,168.000000
129,888.000000,222.000000
130,930.000000,282.000000
131,930.000000,342.000000
132,936.000000,390.000000
133,912.000000,486.000000
134,906.000000,528.000000
135,888.000000,612.000000
136,834.000000,654.000000
137,774.000000,624.000000
138,720.000000,720.000000
139,654.000000,708.000000
140,612.000000,774.000000
141,552.000000,750.000000
142,516.000000,756.000000
143,480.000000,744.000000
144,438.000000,720.000000
145,408.000000,672.000000
146,366.000000,708.000000
147,324.000000,660.000000
148,300.000000,606.000000
149,276.000000,564.000000
150,264.000000,486.000000
151,240.000000,492.000000
152,246.000000,522.000000
153,210.000000,420.000000
154,216.000000,450.000000
155,216.000000,426.000000
156,198.000000,396.000000
157,198.000000,372.000000
158,198.000000,330.000000
159,210.000000,330.000000
160,204.000000,318.000000
161,204.000000,300.000000
162,198.000000,270.000000
163,168.000000,276.000000
164,174.000000,252.000000
165,186.000000,246.000000
166,174.000000,234.000000
167,168.000000,216.000000
168,168.000000,228.000000
169,156.000000,210.000000
170,144.000000,186.000000
171,132.000000,204.000000
172,114.000000,198.000000
173,126.000000,186.000000
174,102.000000,174.000000
175,96.000000,156.000000
176,96.000000,168.000000
177,90.000000,162.000000
178,84.000000,150.000000
179,78.000000,138.000000
180,72.000000,138.000000
181,66.000000,114.000000
182,60.000000,132.000000
183,66.000000,108.000000
184,48.000000,114.000000
185,30.000000,90.000000
186,90.000000,96.000000
187,48.000000,90.000000
188,48.000000,96.000000
189,30.000000,78.000000
190,48.000000,84.000000
191,48.000000,72.000000
192,36.000000,60.000000
193,90.000000,66.000000
194,48.000000,60.000000
195,48.000000,66.000000
196,48.000000,48.000000
197,48.000000,30.000000
198,48.000000,60.000000
199,48.000000,48.000000
200,48.000000,60.000000
201,48.000000,66.000000
202,48.000000,48.000000
203,66.000000,48.000000
204,60.000000,60.000000
205,66.000000,48.000000
206,66.000000,48.000000
207,60.000000,48.000000
208,66.000000,48.000000
209,66.000000,48.000000
210,66.000000,48.000000
211,60.000000,48.000000
212,54.000000,78.000000
213,66.000000,66.000000
214,48.000000,66.000000
215,48.000000,60.000000
216,48.000000,66.000000
217,48.000000,66.000000
218,60.000000,60.000000
219,66.000000,66.000000
220,78.000000,66.000000
221,66.000000,48.000000
222,78.000000,48.000000
223,84.000000,66.000000
224,108.000000,66.000000
225,114.000000,66.000000
226,96.000000,48.000000
227,78.000000,78.000000
228,78.000000,78.000000
229,78.000000,66.000000
230,60.000000,78.000000
231,60.000000,66.000000
232,60.000000,78.000000
233,66.000000,84.000000
234,78.000000,78.000000
235,60.000000,78.000000
236,78.000000,66.000000
237,66.000000,78.000000
238,60.000000,78.000000
239,60.000000,48.000000
240,84.000000,78.000000
241,78.000000,78.000000
242,78.000000,60.000000
243,228.000000,60.000000
244,510.000000,78.000000
245,822.000000,78.000000
246,1176.000000,96.000000
247,1494.000000,156.000000
248,1692.000000,234.000000
249,1842.000000,324.000000
