Time,Subsystem 21
1,0.000000
2,0.000000
3,0.000000
4,0.000000
5,0.000000
6,0.000000
7,0.000000
8,0.000000
9,0.000000
10,0.000000
11,0.000103
12,0.000103
13,0.000617
14,0.000617
15,0.001235
16,0.001852
17,0.002263
18,0.002778
19,0.003395
20,0.004424
21,0.005761
22,0.006379
23,0.007716
24,0.008848
25,0.010391
26,0.009979
27,0.009979
28,0.011523
29,0.013580
30,0.015638
31,0.017181
32,0.017490
33,0.019239
34,0.022119
35,0.023765
36,0.023765
37,0.026955
38,0.029938
39,0.032202
40,0.034671
41,0.038374
42,0.041358
43,0.042695
44,0.043827
45,0.043210
46,0.046811
47,0.048251
48,0.049074
49,0.049486
50,0.048560
51,0.049074
52,0.050514
53,0.051337
54,0.051955
55,0.051029
56,0.052572
57,0.054321
58,0.055247
59,0.056481
60,0.058333
61,0.061626
62,0.063169
63,0.064095
64,0.065844
65,0.066049
66,0.065947
67,0.067078
68,0.066667
69,0.067798
70,0.067387
71,0.066975
72,0.066564
73,0.066255
74,0.067695
75,0.067181
76,0.066975
77,0.066461
78,0.067593
79,0.065947
80,0.065329
81,0.067181
82,0.065535
83,0.064815
84,0.064403
85,0.063066
86,0.062551
87,0.062346
88,0.061214
89,0.060597
90,0.060288
91,0.060288
92,0.059774
93,0.059979
94,0.059774
95,0.059979
96,0.059774
97,0.059979
98,0.059671
99,0.059979
100,0.059568
101,0.059671
102,0.060905
103,0.060905
104,0.062346
105,0.061934
106,0.062963
107,0.064300
108,0.065123
109,0.065947
110,0.066461
111,0.067695
112,0.068004
113,0.068621
114,0.069650
115,0.070165
116,0.070473
117,0.070782
118,0.070576
119,0.071502
120,0.070165
121,0.070165
122,0.070473
123,0.072428
124,0.075617
125,0.079321
126,0.082202
127,0.085905
128,0.092078
129,0.096605
130,0.100514
131,0.107819
132,0.113889
133,0.122222
134,0.128909
135,0.135802
136,0.146091
137,0.157613
138,0.168107
139,0.177366
140,0.188374
141,0.199486
142,0.209877
143,0.220885
144,0.231173
145,0.238169
146,0.237037
147,0.237757
148,0.240329
149,0.242387
150,0.239300
151,0.241049
152,0.242695
153,0.238477
154,0.237449
155,0.237037
156,0.236626
157,0.236214
158,0.231379
159,0.230453
160,0.231893
161,0.229218
162,0.226543
163,0.224177
164,0.221708
165,0.217490
166,0.214506
167,0.216461
168,0.211214
169,0.208230
170,0.202984
171,0.199280
172,0.195782
173,0.191152
174,0.187346
175,0.184568
176,0.181070
177,0.177469
178,0.174691
179,0.170782
180,0.167593
181,0.163272
182,0.159053
183,0.157407
184,0.155041
185,0.151440
186,0.151440
187,0.148457
188,0.151749
189,0.147840
190,0.143827
191,0.140021
192,0.136626
193,0.133230
194,0.130453
195,0.128704
196,0.126029
197,0.124794
198,0.122428
199,0.121091
200,0.120370
201,0.116770
202,0.115432
203,0.114506
204,0.113477
205,0.111934
206,0.111008
207,0.108230
208,0.106584
209,0.105761
210,0.104424
211,0.102058
212,0.099177
213,0.097119
214,0.094547
215,0.092181
216,0.090535
217,0.088889
218,0.087243
219,0.085597
220,0.083951
221,0.082305
222,0.080556
223,0.078601
224,0.077058
225,0.074177
226,0.073765
227,0.072428
228,0.071091
229,0.070473
230,0.068621
231,0.068827
232,0.068107
233,0.067078
234,0.066255
235,0.065741
236,0.066975
237,0.067695
238,0.068621
239,0.069033
240,0.069239
241,0.069239
242,0.070267
243,0.072531
244,0.075720
245,0.077778
246,0.080041
247,0.084671
248,0.090844
249,0.097531
250,0.104321
251,0.112757
252,0.117901
253,0.122428
254,0.128086
255,0.134259
256,0.140123
257,0.148560
258,0.158951
259,0.169753
260,0.180761
261,0.191667
262,0.201749
263,0.211317
264,0.219959
265,0.227572
266,0.227778
267,0.229630
268,0.232510
269,0.234979
270,0.237243
271,0.237860
272,0.237140
273,0.233025
274,0.231893
275,0.228704
276,0.225514
277,0.225206
278,0.225000
279,0.220165
280,0.219547
281,0.218930
282,0.217695
283,0.213786
284,0.210700
285,0.207099
286,0.203292
287,0.197428
288,0.193107
289,0.187757
290,0.183951
291,0.180247
292,0.177058
293,0.180658
294,0.173971
295,0.172531
296,0.168107
297,0.168313
298,0.163066
299,0.159774
300,0.156996
301,0.153395
302,0.150514
303,0.148148
304,0.145165
305,0.141667
306,0.138272
307,0.136626
308,0.134774
309,0.135082
310,0.134877
311,0.131790
312,0.128601
313,0.126440
314,0.123560
315,0.122222
316,0.119959
317,0.117593
318,0.117387
319,0.115021
320,0.113580
321,0.110700
322,0.109465
323,0.106893
324,0.104218
325,0.102058
326,0.099588
327,0.098560
328,0.096914
329,0.095473
330,0.093313
331,0.091770
332,0.090123
333,0.088374
334,0.086317
335,0.084362
336,0.082613
337,0.081070
338,0.079733
339,0.078395
340,0.077675
341,0.076955
342,0.076132
343,0.075206
344,0.073560
345,0.071914
346,0.070885
347,0.069342
348,0.068930
349,0.067387
350,0.067593
351,0.066667
352,0.066358
353,0.065638
354,0.065123
355,0.064300
356,0.062654
357,0.063889
358,0.064609
359,0.064815
360,0.065226
361,0.065226
362,0.067387
363,0.069033
364,0.073148
365,0.077675
366,0.079630
367,0.083745
368,0.089918
369,0.097531
370,0.103704
371,0.112757
372,0.120782
373,0.131173
374,0.140123
375,0.147119
376,0.154218
377,0.161008
378,0.168724
379,0.176235
380,0.185494
381,0.196605
382,0.208025
383,0.217593
384,0.229835
385,0.238169
386,0.245885
387,0.243210
388,0.240329
389,0.237449
390,0.240432
391,0.240947
392,0.237860
393,0.233128
394,0.234671
395,0.230350
396,0.229115
397,0.229115
398,0.226132
399,0.223148
400,0.223251
401,0.223148
402,0.225000
403,0.221914
404,0.221399
405,0.218313
406,0.215329
407,0.211420
408,0.207613
409,0.203086
410,0.196811
411,0.191255
412,0.187551
413,0.185185
414,0.183642
415,0.183951
416,0.179835
417,0.177366
418,0.175823
419,0.174486
420,0.170576
421,0.166770
422,0.161831
423,0.158848
424,0.156481
425,0.151749
426,0.149486
427,0.149588
428,0.148148
429,0.145062
430,0.143930
431,0.141049
432,0.138272
433,0.135391
434,0.134156
435,0.131276
436,0.129115
437,0.126749
438,0.125206
439,0.125000
440,0.122016
441,0.119033
442,0.116255
443,0.114198
444,0.112963
445,0.110391
446,0.108745
447,0.108128
448,0.106893
449,0.104424
450,0.101440
451,0.098765
452,0.096502
453,0.094650
454,0.092901
455,0.091049
456,0.089198
457,0.087449
458,0.084774
459,0.083230
460,0.081276
461,0.079012
462,0.077984
463,0.075720
464,0.074177
465,0.072325
466,0.070782
467,0.068313
468,0.066872
469,0.065329
470,0.064712
471,0.063169
472,0.061831
473,0.061214
474,0.059774
475,0.058539
476,0.056584
477,0.055864
478,0.054835
479,0.053292
480,0.053909
481,0.054218
482,0.056276
483,0.056687
484,0.059774
485,0.062860
486,0.066049
487,0.071193
488,0.076337
489,0.082922
490,0.089609
491,0.099383
492,0.106379
493,0.117078
494,0.126749
495,0.137243
496,0.148354
497,0.155350
498,0.167181
499,0.177160
500,0.187860
501,0.198971
502,0.209053
503,0.218107
504,0.227675
505,0.237449
506,0.244856
507,0.243210
508,0.240226
509,0.237963
510,0.235494
511,0.230761
512,0.227263
513,0.225206
514,0.226029
515,0.226646
516,0.226029
517,0.226646
518,0.226029
519,0.226029
520,0.225412
521,0.224897
522,0.224383
523,0.221296
524,0.220165
525,0.219033
526,0.216564
527,0.217284
528,0.210905
529,0.206481
530,0.203807
531,0.200000
532,0.202366
533,0.194547
534,0.190432
535,0.186934
536,0.186831
537,0.181276
538,0.175103
539,0.169753
540,0.165638
541,0.161008
542,0.156276
543,0.151543
544,0.148560
545,0.144959
546,0.144444
547,0.146708
548,0.144856
549,0.143313
550,0.142695
551,0.139506
552,0.136214
553,0.134877
554,0.133848
555,0.130967
556,0.128909
557,0.126440
558,0.125412
559,0.122531
560,0.121914
561,0.120165
562,0.117593
563,0.115123
564,0.114609
565,0.113272
566,0.112346
567,0.111523
568,0.109671
569,0.108436
570,0.107407
571,0.104012
572,0.100926
573,0.098868
574,0.096193
575,0.093210
576,0.091564
577,0.089712
578,0.086728
579,0.084774
580,0.081790
581,0.079733
582,0.076955
583,0.075206
584,0.073354
585,0.071605
586,0.070165
587,0.068416
588,0.067284
589,0.064918
590,0.063580
591,0.062243
592,0.060905
593,0.059156
594,0.058128
595,0.056379
596,0.055658
597,0.054218
598,0.053292
599,0.052160
600,0.051852
601,0.051749
602,0.052984
603,0.054938
604,0.056584
605,0.059362
606,0.062963
607,0.067490
608,0.072737
609,0.077881
610,0.086317
611,0.094444
612,0.103909
613,0.114300
614,0.122531
615,0.133539
616,0.144342
617,0.155453
618,0.166564
619,0.177263
620,0.188066
621,0.198663
622,0.209259
623,0.217284
624,0.226852
625,0.236831
626,0.242901
627,0.243210
628,0.240226
629,0.237963
630,0.234979
631,0.230761
632,0.227366
633,0.225720
634,0.223663
635,0.224177
636,0.220062
637,0.219342
638,0.218930
639,0.221296
640,0.218313
641,0.217695
642,0.214712
643,0.213477
644,0.212243
645,0.209979
646,0.208436
647,0.205247
648,0.200823
649,0.201543
650,0.195885
651,0.188374
652,0.181276
653,0.176646
654,0.171502
655,0.167181
656,0.161728
657,0.156173
658,0.150617
659,0.146091
660,0.141152
661,0.138889
662,0.136214
663,0.134568
664,0.129835
665,0.125617
666,0.123457
667,0.121605
668,0.119033
669,0.116255
670,0.114198
671,0.112963
672,0.112654
673,0.111626
674,0.108642
675,0.106481
676,0.103704
677,0.101132
678,0.099897
679,0.098663
680,0.096091
681,0.094033
682,0.092490
683,0.091049
684,0.088477
685,0.085082
686,0.083642
687,0.082202
688,0.080967
689,0.078807
690,0.075926
691,0.072942
692,0.070576
693,0.069136
694,0.067078
695,0.064918
696,0.062757
697,0.061214
698,0.059362
699,0.057099
700,0.054835
701,0.053292
702,0.052366
703,0.050309
704,0.049280
705,0.047016
706,0.045885
707,0.044239
708,0.042490
709,0.042078
710,0.041667
711,0.040432
712,0.039506
713,0.037963
714,0.036831
715,0.035802
716,0.035391
717,0.034156
718,0.033642
719,0.032922
720,0.031893
721,0.031173
722,0.031173
723,0.031790
724,0.033436
725,0.036420
726,0.039918
727,0.045062
728,0.050514
729,0.055967
730,0.061111
731,0.067695
732,0.076337
733,0.081584
734,0.089095
735,0.097119
736,0.104424
737,0.112037
738,0.117695
739,0.125617
740,0.129733
741,0.133642
742,0.136831
743,0.138169
744,0.141255
745,0.144650
746,0.145988
747,0.148560
748,0.149897
749,0.152469
750,0.153807
751,0.155967
752,0.156893
753,0.157716
754,0.157716
755,0.157716
756,0.157716
757,0.157716
758,0.157305
759,0.157716
760,0.157716
761,0.157407
762,0.156893
763,0.157099
764,0.154218
765,0.153807
766,0.152469
767,0.151543
768,0.148971
769,0.146193
770,0.142901
771,0.140844
772,0.136523
773,0.132613
774,0.129218
775,0.128704
776,0.128704
777,0.128807
778,0.129218
779,0.129527
780,0.127675
781,0.127469
782,0.128704
783,0.129527
784,0.131481
785,0.128601
786,0.127572
787,0.128086
788,0.128189
789,0.128704
790,0.128395
791,0.128189
792,0.124383
793,0.123457
794,0.121296
795,0.119342
796,0.115638
797,0.111317
798,0.108642
799,0.106173
800,0.105864
801,0.105350
802,0.104012
803,0.102984
804,0.101749
805,0.100000
806,0.100720
807,0.097222
808,0.095473
809,0.093519
810,0.092284
811,0.090535
812,0.091049
813,0.089300
814,0.088272
815,0.086934
816,0.085082
817,0.083642
818,0.080864
819,0.079115
820,0.079424
821,0.077366
822,0.075720
823,0.074691
824,0.073663
825,0.072119
826,0.070576
827,0.068210
828,0.066770
829,0.065947
830,0.064609
831,0.063992
832,0.063374
833,0.062140
834,0.061008
835,0.060597
836,0.059774
837,0.059979
838,0.060802
839,0.063169
840,0.060597
841,0.060700
842,0.062449
843,0.064300
844,0.069444
845,0.073251
846,0.078498
847,0.085905
848,0.091564
849,0.100823
850,0.108745
851,0.115947
852,0.125720
853,0.130041
854,0.134568
855,0.138580
856,0.141770
857,0.144959
858,0.147942
859,0.152058
860,0.154527
861,0.156790
862,0.160288
863,0.164918
864,0.166770
865,0.169650
866,0.170473
867,0.173251
868,0.174074
869,0.175926
870,0.174794
871,0.176543
872,0.175926
873,0.176955
874,0.176029
875,0.177675
876,0.177675
877,0.177675
878,0.178189
879,0.177675
880,0.177675
881,0.175617
882,0.173251
883,0.170679
884,0.167901
885,0.163477
886,0.161728
887,0.160288
888,0.155967
889,0.151132
890,0.147634
891,0.143313
892,0.140741
893,0.135905
894,0.132099
895,0.131584
896,0.128189
897,0.125514
898,0.124177
899,0.124177
900,0.124486
901,0.125000
902,0.125000
903,0.125206
904,0.126029
905,0.125000
906,0.123663
907,0.123971
908,0.124486
909,0.123971
910,0.125000
911,0.125514
912,0.125103
913,0.124691
914,0.123560
915,0.123663
916,0.122737
917,0.122016
918,0.120473
919,0.116049
920,0.116770
921,0.112963
922,0.111728
923,0.112449
924,0.108951
925,0.106996
926,0.104835
927,0.101955
928,0.102469
929,0.098354
930,0.095370
931,0.093107
932,0.091770
933,0.089300
934,0.086831
935,0.087346
936,0.086214
937,0.084156
938,0.082922
939,0.081276
940,0.079115
941,0.076235
942,0.074486
943,0.071811
944,0.069650
945,0.067078
946,0.064918
947,0.063169
948,0.061626
949,0.060494
950,0.059156
951,0.057716
952,0.056996
953,0.055658
954,0.054012
955,0.053704
956,0.051749
957,0.051440
958,0.051029
959,0.049486
960,0.049383
961,0.048560
962,0.049588
963,0.051337
964,0.054835
965,0.059362
966,0.064609
967,0.067695
968,0.073765
969,0.080041
970,0.087860
971,0.094650
972,0.102675
973,0.111111
974,0.115947
975,0.121193
976,0.125514
977,0.129527
978,0.133745
979,0.137449
980,0.141049
981,0.144342
982,0.147634
983,0.151440
984,0.155556
985,0.157716
986,0.159671
987,0.161317
988,0.160905
989,0.161626
990,0.161934
991,0.161523
992,0.161934
993,0.162449
994,0.163272
995,0.163272
996,0.162860
997,0.163374
998,0.163272
999,0.163272
1000,0.163272
1001,0.163272
