Time,Subsystem 37,Subsystem 38,Subsystem 40
1,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000
7,0.000000,0.000000,0.000000
8,0.000000,0.000000,0.000000
9,0.000000,0.000000,0.000000
10,0.000000,0.000000,0.000000
11,0.000000,0.000000,0.000000
12,0.000000,0.000000,0.000000
13,0.000000,0.000000,0.000000
14,0.000000,0.000000,0.000000
15,0.000000,0.000000,0.000000
16,0.000000,0.000000,0.000000
17,0.000000,0.000000,0.000000
18,0.000000,0.000000,0.000000
19,0.000000,0.000000,0.000000
20,0.000000,0.000000,0.000000
21,0.000000,0.000000,0.000000
22,0.000000,0.000000,0.000000
23,0.000000,0.000000,0.000000
24,0.000000,0.000000,0.000000
25,0.000000,0.000000,0.000000
26,0.000000,0.000000,0.000000
27,0.000000,0.000000,0.000000
28,0.000000,0.000000,0.000000
29,0.000000,0.000000,0.000000
30,0.000000,0.000000,0.000000
31,0.000000,0.000000,0.000000
32,0.000000,0.000000,0.000000
33,0.000000,0.000000,0.000000
34,0.000000,0.000000,0.000000
35,0.000000,0.000000,0.000000
36,0.000000,0.000000,0.000000
37,0.000000,0.000000,0.000000
38,0.000000,0.000000,0.000000
39,0.000000,0.000000,0.000000
40,0.000103,0.000000,0.000000
41,0.000103,0.000000,0.000000
42,0.000103,0.000000,0.000000
43,0.000103,0.000000,0.000000
44,0.000103,0.000000,0.000000
45,0.000103,0.000000,0.000103
46,0.000103,0.000000,0.000103
47,0.000103,0.000000,0.000103
48,0.000206,0.000000,0.000103
49,0.000206,0.000000,0.000103
50,0.000206,0.000000,0.000206
51,0.000206,0.000000,0.000206
52,0.000206,0.000000,0.000309
53,0.000206,0.000000,0.000309
54,0.000206,0.000000,0.000412
55,0.000206,0.000000,0.000412
56,0.000309,0.000000,0.000412
57,0.000309,0.000000,0.000412
58,0.000412,0.000000,0.000514
59,0.000412,0.000000,0.000617
60,0.000514,0.000000,0.000617
61,0.000514,0.000000,0.000720
62,0.000617,0.000000,0.000720
63,0.000617,0.000000,0.000823
64,0.000720,0.000000,0.000823
65,0.000720,0.000000,0.000926
66,0.000823,0.000000,0.001029
67,0.000926,0.000000,0.001132
68,0.001029,0.000000,0.001235
69,0.001235,0.000000,0.001235
70,0.001235,0.000000,0.001440
71,0.001440,0.000000,0.001440
72,0.001543,0.000000,0.001646
73,0.001749,0.000000,0.001749
74,0.001749,0.000000,0.001749
75,0.001749,0.000000,0.001852
76,0.001955,0.000000,0.001749
77,0.002058,0.000000,0.001852
78,0.002058,0.000000,0.001955
79,0.001955,0.000000,0.002263
80,0.002058,0.000000,0.002366
81,0.002058,0.000000,0.002675
82,0.002263,0.000000,0.002778
83,0.002263,0.000000,0.003189
84,0.002160,0.000000,0.003498
85,0.002058,0.000617,0.003292
86,0.001955,0.001235,0.003189
87,0.001955,0.001852,0.003086
88,0.001852,0.002469,0.003086
89,0.001749,0.003086,0.003189
90,0.001749,0.003909,0.003086
91,0.001646,0.003909,0.003189
92,0.001749,0.004527,0.003086
93,0.001646,0.005144,0.002984
94,0.001646,0.005864,0.002881
95,0.001543,0.005658,0.003189
96,0.001543,0.006173,0.003086
97,0.001440,0.006790,0.002984
98,0.001440,0.006790,0.002881
99,0.001337,0.007407,0.002881
100,0.001337,0.007407,0.002675
101,0.001235,0.008025,0.002675
102,0.001235,0.008025,0.002469
103,0.001132,0.008642,0.002469
104,0.001132,0.008642,0.002263
105,0.001235,0.009465,0.002263
106,0.001235,0.009259,0.002263
107,0.001132,0.009877,0.002263
108,0.001132,0.009877,0.002058
109,0.001029,0.010494,0.002058
110,0.001029,0.010185,0.002058
111,0.001132,0.010185,0.002263
112,0.001235,0.010391,0.002263
113,0.001235,0.010494,0.002469
114,0.001337,0.010494,0.002469
115,0.001337,0.010494,0.002675
116,0.001337,0.010802,0.002469
117,0.001337,0.010802,0.002675
118,0.001440,0.010597,0.002881
119,0.001543,0.011420,0.002881
120,0.001646,0.012037,0.003086
121,0.001749,0.012654,0.003292
122,0.001749,0.013374,0.003292
123,0.001852,0.013580,0.003498
124,0.001852,0.013580,0.003498
125,0.001852,0.015021,0.003498
126,0.001852,0.015021,0.003498
127,0.001955,0.016461,0.003704
128,0.001955,0.016461,0.003704
129,0.001955,0.018519,0.003704
130,0.002058,0.018827,0.003909
131,0.002058,0.018827,0.003909
132,0.002160,0.020782,0.004115
133,0.002160,0.020782,0.004115
134,0.002263,0.022634,0.004321
135,0.002263,0.022634,0.004321
136,0.002366,0.024383,0.005247
137,0.002366,0.024383,0.006687
138,0.002366,0.024383,0.008128
139,0.002366,0.024383,0.009671
140,0.002366,0.024383,0.011317
141,0.002366,0.024383,0.012140
142,0.002366,0.025823,0.012140
143,0.002366,0.027263,0.012243
144,0.002366,0.028704,0.012449
145,0.002366,0.030144,0.012654
146,0.002366,0.031584,0.013066
147,0.002366,0.033025,0.013580
148,0.002572,0.034568,0.013992
149,0.002778,0.036008,0.014609
150,0.003086,0.037654,0.015021
151,0.003498,0.039095,0.015638
152,0.003704,0.040638,0.016461
153,0.003704,0.043313,0.016461
154,0.004012,0.044959,0.017078
155,0.004012,0.046605,0.017078
156,0.004012,0.049486,0.017078
157,0.004012,0.052469,0.017078
158,0.004012,0.055453,0.017078
159,0.004012,0.057099,0.017078
160,0.004012,0.060185,0.017078
161,0.004115,0.063272,0.017078
162,0.004218,0.066152,0.017284
163,0.004424,0.069033,0.017490
164,0.004424,0.072222,0.017490
165,0.004424,0.075514,0.017490
166,0.004424,0.078909,0.017490
167,0.004527,0.081790,0.017901
168,0.004630,0.084877,0.018107
169,0.004630,0.086934,0.018107
170,0.004835,0.088683,0.018313
171,0.004835,0.091872,0.018724
172,0.004835,0.095370,0.018724
173,0.004835,0.098971,0.018724
174,0.005144,0.101852,0.019136
175,0.005247,0.104938,0.019547
176,0.005453,0.108128,0.019753
177,0.005453,0.111420,0.019959
178,0.005556,0.113169,0.020370
179,0.005658,0.116358,0.020782
180,0.005658,0.119650,0.021193
181,0.005864,0.122737,0.021605
182,0.005967,0.124486,0.022016
183,0.006070,0.127675,0.022428
184,0.006276,0.130144,0.023457
185,0.006276,0.133128,0.024074
186,0.006481,0.136317,0.024280
187,0.006687,0.138683,0.025309
188,0.006687,0.141975,0.025514
189,0.006790,0.143621,0.026337
190,0.007099,0.145885,0.027160
191,0.007099,0.149177,0.027366
192,0.007305,0.151337,0.028498
193,0.006790,0.143724,0.027572
194,0.006379,0.138066,0.026132
195,0.006070,0.131379,0.026132
196,0.005761,0.126337,0.025103
197,0.006379,0.119444,0.025206
198,0.006173,0.115021,0.024074
199,0.005967,0.111008,0.022840
200,0.006481,0.106070,0.022119
201,0.006790,0.102058,0.020988
202,0.006996,0.097016,0.021193
203,0.006790,0.094136,0.019959
204,0.006790,0.090226,0.019650
205,0.006893,0.086523,0.019239
206,0.006893,0.083128,0.018930
207,0.006996,0.079938,0.018621
208,0.006790,0.077572,0.018107
209,0.006687,0.075309,0.017490
210,0.006687,0.071914,0.017695
211,0.006687,0.069342,0.017490
212,0.006584,0.066358,0.017593
213,0.006584,0.064198,0.017593
214,0.006687,0.061523,0.017593
