Vehicle,Origin,Destination,Time
0,3,0,1.066667
1,12,0,1.683333
2,24,0,1.683333
3,2,0,1.683333
4,8,0,1.450000
5,18,0,1.683333
6,32,0,1.683333
7,54,0,1.683333
8,1,0,1.683333
9,48,0,1.683333
10,9,0,0.483333
11,19,0,1.683333
12,22,0,1.683333
13,34,0,1.683333
14,46,0,1.683333
15,6,0,1.083333
16,16,0,1.683333
17,56,0,1.683333
18,21,0,1.683333
19,55,0,1.683333
20,3,2,1.683333
21,24,2,1.683333
22,8,2,0.383333
23,18,2,1.683333
24,32,2,1.683333
25,1,2,1.683333
26,48,2,1.683333
27,34,2,1.683333
28,16,2,1.683333
29,56,2,1.683333
30,11,2,1.466667
31,21,2,1.533333
32,55,2,1.683333
33,0,3,0.350000
34,2,3,1.683333
35,8,3,1.683333
36,18,3,1.683333
37,32,3,1.683333
38,54,3,1.683333
39,1,3,1.683333
40,48,3,1.683333
41,9,3,0.483333
42,19,3,1.183333
43,22,3,1.683333
44,33,3,1.683333
45,6,3,1.200000
46,16,3,1.683333
47,56,3,1.683333
48,11,3,1.683333
49,21,3,1.683333
50,3,6,1.233333
51,0,6,0.466667
52,8,6,0.316667
53,48,6,1.683333
54,11,6,1.650000
55,21,6,1.683333
56,3,8,1.683333
57,24,8,1.683333
58,0,8,1.683333
59,2,8,1.450000
60,1,8,1.683333
61,48,8,1.683333
62,9,8,1.683333
63,22,8,1.683333
64,6,8,0.450000
65,56,8,1.683333
66,11,8,1.466667
67,3,9,1.266667
68,12,9,1.400000
69,24,9,1.683333
70,0,9,0.366667
71,18,9,1.683333
72,54,9,1.683333
73,48,9,1.683333
74,3,11,1.683333
75,24,11,1.683333
76,0,11,1.683333
77,2,11,1.483333
78,8,11,0.333333
79,32,11,1.683333
80,48,11,1.683333
81,33,11,1.683333
82,6,11,0.416667
83,56,11,1.683333
84,21,11,0.433333
85,55,11,1.683333
86,24,12,1.683333
87,0,12,1.683333
88,18,12,1.683333
89,54,12,1.683333
90,48,12,1.683333
91,9,12,0.416667
92,19,12,0.483333
93,22,12,0.983333
94,11,12,1.550000
95,37,12,1.683333
96,55,12,1.500000
97,12,16,1.683333
98,24,16,1.683333
99,18,16,1.266667
100,49,16,1.683333
101,34,16,1.683333
102,11,16,0.516667
103,55,16,0.666667
104,3,18,1.683333
105,12,18,1.683333
106,24,18,1.683333
107,0,18,1.683333
108,2,18,1.683333
109,8,18,1.033333
110,32,18,1.683333
111,54,18,1.683333
112,49,18,1.683333
113,48,18,1.683333
114,9,18,1.683333
115,19,18,1.683333
116,22,18,1.683333
117,34,18,1.683333
118,16,18,1.266667
119,56,18,1.683333
120,11,18,0.416667
121,21,18,0.500000
122,23,18,0.833333
123,55,18,1.683333
124,3,19,1.683333
125,12,19,1.366667
126,24,19,1.683333
127,18,19,1.683333
128,32,19,1.683333
129,54,19,1.666667
130,49,19,1.683333
131,22,19,0.233333
132,34,19,1.683333
133,3,21,1.683333
134,2,21,1.683333
135,8,21,1.283333
136,18,21,1.516667
137,32,21,0.716667
138,48,21,1.666667
139,34,21,1.683333
140,6,21,1.316667
141,11,21,0.466667
142,55,21,1.683333
143,12,22,1.683333
144,24,22,1.583333
145,0,22,1.683333
146,2,22,1.683333
147,18,22,1.683333
148,54,22,1.233333
149,48,22,1.683333
150,9,22,1.000000
151,19,22,0.183333
152,33,22,0.450000
153,34,22,1.583333
154,16,22,1.683333
155,56,22,1.683333
156,55,22,1.683333
157,3,23,1.683333
158,2,23,1.683333
159,18,23,1.683333
160,32,23,0.383333
161,48,23,1.200000
162,56,23,1.683333
163,11,23,0.816667
164,21,23,0.216667
165,3,24,1.683333
166,12,24,1.683333
167,24,24,0.000000
168,0,24,1.683333
169,2,24,1.683333
170,8,24,1.683333
171,18,24,1.683333
172,32,24,1.683333
173,54,24,1.300000
174,49,24,1.683333
175,48,24,1.433333
176,19,24,0.966667
177,22,24,0.450000
178,33,24,0.333333
179,34,24,1.383333
180,46,24,1.100000
181,6,24,1.683333
182,16,24,1.683333
183,56,24,1.683333
184,11,24,1.683333
185,37,24,1.683333
186,24,32,1.683333
187,54,32,1.683333
188,49,32,1.683333
189,48,32,1.133333
190,22,32,1.683333
191,46,32,1.683333
192,56,32,1.683333
193,37,32,0.966667
194,55,32,1.683333
195,0,33,1.683333
196,32,33,1.683333
197,54,33,0.566667
198,19,33,0.750000
199,22,33,0.366667
200,34,33,1.433333
201,24,34,1.500000
202,8,34,1.683333
203,54,34,0.983333
204,49,34,1.683333
205,48,34,0.883333
206,33,34,0.516667
207,46,34,0.600000
208,56,34,1.683333
209,37,34,1.683333
210,12,37,1.683333
211,24,37,1.683333
212,0,37,1.683333
213,2,37,1.683333
214,32,37,0.266667
215,54,37,1.683333
216,49,37,1.683333
217,48,37,0.233333
218,19,37,1.683333
219,22,37,1.683333
220,34,37,1.566667
221,46,37,1.683333
222,56,37,1.633333
223,11,37,1.683333
224,23,37,1.133333
225,12,46,1.683333
226,24,46,1.683333
227,0,46,1.683333
228,32,46,1.683333
229,54,46,0.533333
230,49,46,1.683333
231,9,46,1.683333
232,33,46,0.416667
233,3,48,1.683333
234,24,48,1.683333
235,0,48,1.683333
236,2,48,1.683333
237,8,48,1.683333
238,18,48,1.683333
239,49,48,1.683333
240,9,48,1.683333
241,19,48,1.683333
242,22,48,1.683333
243,56,48,1.450000
244,11,48,1.683333
245,21,48,1.400000
246,23,48,1.683333
247,37,48,0.300000
248,3,53,1.683333
249,49,53,1.683333
250,22,53,1.250000
251,46,53,0.416667
252,37,53,1.683333
253,3,54,1.683333
254,12,54,1.683333
255,24,54,1.683333
256,0,54,1.683333
257,18,54,1.683333
258,32,54,1.683333
259,49,54,1.666667
260,48,54,1.683333
261,9,54,1.683333
262,19,54,1.683333
263,22,54,1.683333
264,33,54,0.766667
265,34,54,1.683333
266,46,54,0.566667
267,16,54,1.683333
268,56,54,1.683333
269,11,54,1.683333
270,37,54,1.683333
271,3,55,1.400000
272,12,55,1.683333
273,32,55,1.683333
274,48,55,1.683333
275,9,55,0.633333
276,16,55,0.700000
277,56,55,1.683333
278,3,56,1.683333
279,24,56,1.683333
280,0,56,1.683333
281,2,56,1.683333
282,8,56,1.683333
283,18,56,1.683333
284,32,56,1.683333
285,54,56,1.016667
286,1,56,1.683333
287,49,56,1.683333
288,48,56,0.633333
289,9,56,1.683333
290,19,56,1.683333
291,22,56,1.683333
292,33,56,1.116667
293,34,56,0.950000
294,46,56,0.533333
295,6,56,1.683333
296,16,56,1.683333
297,56,56,0.000000
298,11,56,1.683333
299,21,56,1.683333
300,23,56,1.683333
301,37,56,1.683333
302,55,56,1.683333
303,3,0,1.050000
304,12,0,1.666667
305,24,0,1.666667
306,2,0,1.666667
307,8,0,1.483333
308,18,0,1.666667
309,32,0,1.666667
310,54,0,1.666667
311,1,0,1.666667
312,48,0,1.666667
313,9,0,0.550000
314,19,0,1.666667
315,22,0,1.666667
316,34,0,1.666667
317,46,0,1.666667
318,6,0,1.066667
319,16,0,1.666667
320,56,0,1.666667
321,21,0,1.666667
322,55,0,1.666667
323,3,2,1.666667
324,24,2,1.666667
325,8,2,0.450000
326,18,2,1.666667
327,32,2,1.666667
328,1,2,1.666667
329,48,2,1.666667
330,34,2,1.666667
331,16,2,1.666667
332,56,2,1.666667
333,11,2,1.466667
334,21,2,1.550000
335,55,2,1.666667
336,0,3,0.366667
337,2,3,1.666667
338,8,3,1.666667
339,18,3,1.666667
340,32,3,1.666667
341,54,3,1.666667
342,1,3,1.666667
343,48,3,1.666667
344,9,3,0.566667
345,19,3,1.666667
346,22,3,1.666667
347,33,3,1.666667
348,6,3,1.200000
349,16,3,1.666667
350,56,3,1.666667
351,11,3,1.666667
352,21,3,1.666667
353,3,6,1.250000
354,0,6,0.516667
355,8,6,0.366667
356,48,6,1.666667
357,11,6,1.650000
358,21,6,1.666667
359,3,8,1.666667
360,24,8,1.666667
361,0,8,1.666667
362,2,8,1.450000
363,1,8,1.666667
364,48,8,1.666667
365,9,8,1.666667
366,22,8,1.666667
367,6,8,0.516667
368,56,8,1.666667
369,11,8,1.466667
370,3,9,1.266667
371,12,9,1.416667
372,24,9,1.666667
373,0,9,0.450000
374,18,9,1.666667
375,54,9,1.666667
376,48,9,1.666667
377,3,11,1.666667
378,24,11,1.666667
379,0,11,1.666667
380,2,11,1.483333
381,8,11,0.466667
382,32,11,1.666667
