Time,North,East,South,West
1,red,blue,red,blue
2,red,blue,red,blue
3,red,blue,red,blue
4,red,blue,red,blue
5,red,blue,red,blue
6,red,blue,red,blue
7,red,blue,red,blue
8,red,blue,red,blue
9,red,blue,red,blue
10,red,blue,red,blue
11,red,blue,red,blue
12,red,blue,red,blue
13,red,blue,red,blue
14,red,blue,red,blue
15,red,blue,red,blue
16,red,blue,red,blue
17,red,blue,red,blue
18,red,blue,red,blue
19,red,blue,red,blue
20,red,blue,red,blue
21,red,blue,red,blue
22,red,blue,red,blue
23,red,blue,red,blue
24,red,blue,red,blue
25,red,blue,red,blue
26,red,blue,red,blue
27,red,blue,red,blue
28,red,blue,red,blue
29,red,blue,red,blue
30,red,blue,red,blue
31,red,blue,red,blue
32,red,blue,red,blue
33,red,blue,red,blue
34,red,blue,red,blue
35,red,blue,red,blue
36,red,blue,red,blue
37,red,blue,red,blue
38,red,blue,red,blue
39,red,blue,red,blue
40,red,blue,red,blue
41,red,blue,red,blue
42,red,yellow,red,yellow
43,red,yellow,red,yellow
44,red,yellow,red,yellow
45,red,red,red,red
46,red,red,red,red
47,red,red,red,red
48,red,red,red,red
49,red,red,red,red
50,blue,red,blue,red
51,blue,red,blue,red
52,blue,red,blue,red
53,blue,red,blue,red
54,blue,red,blue,red
55,blue,red,blue,red
56,blue,red,blue,red
57,blue,red,blue,red
58,blue,red,blue,red
59,blue,red,blue,red
60,blue,red,blue,red
61,blue,red,blue,red
62,blue,red,blue,red
63,blue,red,blue,red
64,blue,red,blue,red
65,blue,red,blue,red
66,blue,red,blue,red
67,blue,red,blue,red
68,blue,red,blue,red
69,blue,red,blue,red
70,blue,red,blue,red
71,blue,red,blue,red
72,blue,red,blue,red
73,blue,red,blue,red
74,blue,red,blue,red
75,blue,red,blue,red
76,blue,red,blue,red
77,blue,red,blue,red
78,blue,red,blue,red
79,blue,red,blue,red
80,blue,red,blue,red
81,blue,red,blue,red
82,blue,red,blue,red
83,blue,red,blue,red
84,blue,red,blue,red
85,blue,red,blue,red
86,blue,red,blue,red
87,blue,red,blue,red
88,blue,red,blue,red
89,blue,red,blue,red
90,blue,red,blue,red
91,blue,red,blue,red
92,blue,red,blue,red
93,blue,red,blue,red
94,blue,red,blue,red
95,blue,red,blue,red
96,blue,red,blue,red
97,blue,red,blue,red
98,blue,red,blue,red
99,blue,red,blue,red
100,blue,red,blue,red
101,blue,red,blue,red
102,blue,red,blue,red
103,blue,red,blue,red
104,blue,red,blue,red
105,blue,red,blue,red
106,blue,red,blue,red
107,blue,red,blue,red
108,blue,red,blue,red
109,blue,red,blue,red
110,blue,red,blue,red
111,blue,red,blue,red
112,yellow,red,yellow,red
113,yellow,red,yellow,red
114,yellow,red,yellow,red
115,red,red,red,red
116,red,red,red,red
117,red,red,red,red
118,red,red,red,red
119,red,red,red,red
120,red,blue,red,blue
121,red,blue,red,blue
122,red,blue,red,blue
123,red,blue,red,blue
124,red,blue,red,blue
125,red,blue,red,blue
126,red,blue,red,blue
127,red,blue,red,blue
128,red,blue,red,blue
129,red,blue,red,blue
130,red,blue,red,blue
131,red,blue,red,blue
132,red,blue,red,blue
133,red,blue,red,blue
134,red,blue,red,blue
135,red,blue,red,blue
136,red,blue,red,blue
137,red,blue,red,blue
138,red,blue,red,blue
139,red,blue,red,blue
140,red,blue,red,blue
141,red,blue,red,blue
142,red,blue,red,blue
143,red,blue,red,blue
144,red,blue,red,blue
145,red,blue,red,blue
146,red,blue,red,blue
147,red,blue,red,blue
148,red,blue,red,blue
149,red,blue,red,blue
150,red,blue,red,blue
151,red,blue,red,blue
152,red,blue,red,blue
153,red,blue,red,blue
154,red,blue,red,blue
155,red,blue,red,blue
156,red,blue,red,blue
157,red,blue,red,blue
158,red,blue,red,blue
159,red,blue,red,blue
160,red,blue,red,blue
161,red,blue,red,blue
162,red,yellow,red,yellow
163,red,yellow,red,yellow
164,red,yellow,red,yellow
165,red,red,red,red
166,red,red,red,red
167,red,red,red,red
168,red,red,red,red
169,red,red,red,red
170,blue,red,blue,red
171,blue,red,blue,red
172,blue,red,blue,red
173,blue,red,blue,red
174,blue,red,blue,red
175,blue,red,blue,red
176,blue,red,blue,red
177,blue,red,blue,red
178,blue,red,blue,red
179,blue,red,blue,red
180,blue,red,blue,red
181,blue,red,blue,red
182,blue,red,blue,red
183,blue,red,blue,red
184,blue,red,blue,red
185,blue,red,blue,red
186,blue,red,blue,red
187,blue,red,blue,red
188,blue,red,blue,red
189,blue,red,blue,red
190,blue,red,blue,red
191,blue,red,blue,red
192,blue,red,blue,red
193,blue,red,blue,red
194,blue,red,blue,red
195,blue,red,blue,red
196,blue,red,blue,red
197,blue,red,blue,red
198,blue,red,blue,red
199,blue,red,blue,red
200,blue,red,blue,red
201,blue,red,blue,red
202,blue,red,blue,red
203,blue,red,blue,red
204,blue,red,blue,red
205,blue,red,blue,red
206,blue,red,blue,red
207,blue,red,blue,red
208,blue,red,blue,red
209,blue,red,blue,red
210,blue,red,blue,red
211,blue,red,blue,red
212,blue,red,blue,red
213,blue,red,blue,red
214,blue,red,blue,red
215,blue,red,blue,red
216,blue,red,blue,red
217,blue,red,blue,red
218,blue,red,blue,red
219,blue,red,blue,red
220,blue,red,blue,red
221,blue,red,blue,red
222,blue,red,blue,red
223,blue,red,blue,red
224,blue,red,blue,red
225,blue,red,blue,red
226,blue,red,blue,red
227,blue,red,blue,red
228,blue,red,blue,red
229,blue,red,blue,red
230,blue,red,blue,red
231,blue,red,blue,red
232,yellow,red,yellow,red
233,yellow,red,yellow,red
234,yellow,red,yellow,red
235,red,red,red,red
236,red,red,red,red
237,red,red,red,red
238,red,red,red,red
239,red,red,red,red
240,red,blue,red,blue
241,red,blue,red,blue
242,red,blue,red,blue
243,red,blue,red,blue
244,red,blue,red,blue
245,red,blue,red,blue
246,red,blue,red,blue
247,red,blue,red,blue
248,red,blue,red,blue
249,red,blue,red,blue
250,red,blue,red,blue
251,red,blue,red,blue
252,red,blue,red,blue
253,red,blue,red,blue
254,red,blue,red,blue
255,red,blue,red,blue
256,red,blue,red,blue
257,red,blue,red,blue
258,red,blue,red,blue
259,red,blue,red,blue
260,red,blue,red,blue
261,red,blue,red,blue
262,red,blue,red,blue
263,red,blue,red,blue
264,red,blue,red,blue
265,red,blue,red,blue
266,red,blue,red,blue
267,red,blue,red,blue
268,red,blue,red,blue
269,red,blue,red,blue
270,red,blue,red,blue
271,red,blue,red,blue
272,red,blue,red,blue
273,red,blue,red,blue
274,red,blue,red,blue
275,red,blue,red,blue
276,red,blue,red,blue
277,red,blue,red,blue
278,red,blue,red,blue
279,red,blue,red,blue
280,red,blue,red,blue
281,red,blue,red,blue
282,red,yellow,red,yellow
283,red,yellow,red,yellow
284,red,yellow,red,yellow
285,red,red,red,red
286,red,red,red,red
287,red,red,red,red
288,red,red,red,red
289,red,red,red,red
290,blue,red,blue,red
291,blue,red,blue,red
292,blue,red,blue,red
293,blue,red,blue,red
294,blue,red,blue,red
295,blue,red,blue,red
296,blue,red,blue,red
297,blue,red,blue,red
298,blue,red,blue,red
299,blue,red,blue,red
300,blue,red,blue,red
301,blue,red,blue,red
302,blue,red,blue,red
303,blue,red,blue,red
304,blue,red,blue,red
305,blue,red,blue,red
306,blue,red,blue,red
307,blue,red,blue,red
308,blue,red,blue,red
309,blue,red,blue,red
310,blue,red,blue,red
311,blue,red,blue,red
312,blue,red,blue,red
313,blue,red,blue,red
314,blue,red,blue,red
315,blue,red,blue,red
316,blue,red,blue,red
317,blue,red,blue,red
318,blue,red,blue,red
319,blue,red,blue,red
320,blue,red,blue,red
321,blue,red,blue,red
322,blue,red,blue,red
323,blue,red,blue,red
324,blue,red,blue,red
