Time,Mean,Mean+SD,Mean-SD,SD
1,0.003286,0.003286,0.003286,0.000000
2,0.003286,0.003286,0.003286,0.000000
3,0.003286,0.003286,0.003286,0.000000
4,0.003286,0.003286,0.003286,0.000000
5,0.003286,0.003286,0.003286,0.000000
6,0.003286,0.003286,0.003286,0.000000
7,0.003286,0.003286,0.003286,0.000000
8,0.003286,0.003286,0.003286,0.000000
9,0.003286,0.003286,0.003286,0.000000
10,0.003286,0.003286,0.003286,0.000000
11,0.003286,0.003286,0.003286,0.000000
12,0.003286,0.003286,0.003286,0.000000
13,0.003286,0.003286,0.003286,0.000000
14,0.003286,0.003286,0.003286,0.000000
15,0.003286,0.003286,0.003286,0.000000
16,0.003286,0.003286,0.003286,0.000000
17,0.003286,0.003286,0.003286,0.000000
18,0.003286,0.003286,0.003286,0.000000
19,0.003286,0.003286,0.003286,0.000000
20,0.003286,0.003286,0.003286,0.000000
21,0.003286,0.003286,0.003286,0.000000
22,0.003286,0.003286,0.003286,0.000000
23,0.003286,0.003286,0.003286,0.000000
24,0.003286,0.003286,0.003286,0.000000
25,0.003286,0.003286,0.003286,0.000000
26,0.003286,0.003286,0.003286,0.000000
27,0.003286,0.003286,0.003286,0.000000
28,0.003287,0.003287,0.003287,0.000000
29,0.003287,0.003287,0.003287,0.000000
30,0.003287,0.003287,0.003287,0.000000
31,0.003287,0.003287,0.003287,0.000000
32,0.003287,0.003287,0.003287,0.000000
33,0.003288,0.003288,0.003288,0.000000
34,0.003288,0.003288,0.003288,0.000000
35,0.003288,0.003288,0.003288,0.000000
36,0.003289,0.003289,0.003289,0.000000
37,0.003290,0.003290,0.003290,0.000000
38,0.003290,0.003290,0.003290,0.000000
39,0.003290,0.003290,0.003290,0.000000
40,0.003291,0.003291,0.003291,0.000000
41,0.003291,0.003291,0.003291,0.000000
42,0.003292,0.003292,0.003292,0.000000
43,0.003293,0.003293,0.003293,0.000000
44,0.003293,0.003293,0.003293,0.000000
45,0.003293,0.003293,0.003293,0.000000
46,0.003292,0.003292,0.003292,0.000000
47,0.003292,0.003292,0.003292,0.000000
48,0.003292,0.003292,0.003292,0.000000
49,0.003292,0.003292,0.003292,0.000000
50,0.003292,0.003292,0.003292,0.000000
51,0.003293,0.003293,0.003293,0.000000
52,0.003292,0.003292,0.003292,0.000000
53,0.003293,0.003293,0.003293,0.000000
54,0.003293,0.003293,0.003293,0.000000
55,0.003294,0.003294,0.003294,0.000000
56,0.003293,0.003293,0.003293,0.000000
57,0.003294,0.003294,0.003294,0.000000
58,0.003294,0.003294,0.003294,0.000000
59,0.003294,0.003294,0.003294,0.000000
60,0.003294,0.003294,0.003294,0.000000
61,0.003295,0.003295,0.003295,0.000000
62,0.003295,0.003295,0.003295,0.000000
63,0.003295,0.003295,0.003295,0.000000
64,0.003295,0.003295,0.003295,0.000000
65,0.003293,0.003293,0.003293,0.000000
66,0.003293,0.003293,0.003293,0.000000
67,0.003294,0.003294,0.003294,0.000000
68,0.003296,0.003296,0.003296,0.000000
69,0.003296,0.003296,0.003296,0.000000
70,0.003299,0.003299,0.003299,0.000000
71,0.003300,0.003300,0.003300,0.000000
72,0.003302,0.003302,0.003302,0.000000
73,0.003305,0.003305,0.003305,0.000000
74,0.003307,0.003307,0.003307,0.000000
75,0.003309,0.003309,0.003309,0.000000
76,0.003312,0.003312,0.003312,0.000000
77,0.003314,0.003314,0.003314,0.000000
78,0.003315,0.003315,0.003315,0.000000
79,0.003317,0.003317,0.003317,0.000000
80,0.003318,0.003318,0.003318,0.000000
81,0.003319,0.003319,0.003319,0.000000
82,0.003319,0.003319,0.003319,0.000000
83,0.003319,0.003319,0.003319,0.000000
84,0.003320,0.003320,0.003320,0.000000
85,0.003320,0.003320,0.003320,0.000000
86,0.003321,0.003321,0.003321,0.000000
87,0.003322,0.003322,0.003322,0.000000
88,0.003324,0.003324,0.003324,0.000000
89,0.003326,0.003326,0.003326,0.000000
90,0.003329,0.003329,0.003329,0.000000
91,0.003334,0.003334,0.003334,0.000000
92,0.003335,0.003335,0.003335,0.000000
93,0.003342,0.003342,0.003342,0.000000
94,0.003351,0.003351,0.003351,0.000000
95,0.003363,0.003363,0.003363,0.000000
96,0.003375,0.003375,0.003375,0.000000
97,0.003384,0.003384,0.003384,0.000000
98,0.003401,0.003401,0.003401,0.000000
99,0.003412,0.003412,0.003412,0.000000
100,0.003433,0.003434,0.003433,0.000000
101,0.003453,0.003453,0.003453,0.000000
102,0.003477,0.003477,0.003476,0.000000
103,0.003495,0.003496,0.003495,0.000001
